School Name,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,size
Boise State University (BSU),State,40800.00 ,69500.00 ,37400.00 ,48700.00 ,87500.00 ,110000.00 ,2.00 
Missouri State University (MSU),State,36100.00 ,69500.00 ,33300.00 ,46900.00 ,102000.00 ,134000.00 ,2.00 
University of Wisconsin (UW) - La Crosse,State,42200.00 ,69300.00 ,37500.00 ,47200.00 ,93100.00 ,133000.00 ,2.00 
Appalachian State University,State,40400.00 ,69100.00 ,37200.00 ,50400.00 ,90800.00 ,115000.00 ,2.00 
Virginia Commonwealth University (VCU),State,42000.00 ,68400.00 ,37400.00 ,51900.00 ,100000.00 ,123000.00 ,2.00 
University of Wisconsin (UW) - Stout,State,43600.00 ,68300.00 ,40900.00 ,50600.00 ,91600.00 ,136000.00 ,2.00 
East Carolina University (ECU),State,40200.00 ,67500.00 ,38400.00 ,52000.00 ,98700.00 ,151000.00 ,2.00 
Utah Valley State College,State,42400.00 ,67100.00 ,27000.00 ,44100.00 ,84900.00 ,110000.00 ,2.00 
University of Missouri - St. Louis (UMSL),State,41400.00 ,67100.00 ,36800.00 ,49600.00 ,97600.00 ,144000.00 ,2.00 
Western Carolina University,State,36900.00 ,66600.00 ,39000.00 ,49500.00 ,94400.00 ,133000.00 ,2.00 
University of Wisconsin (UW) - Oshkosh,State,39300.00 ,66400.00 ,37700.00 ,49700.00 ,90100.00 ,138000.00 ,2.00 
State University of New York (SUNY) at Fredonia,State,37800.00 ,66200.00 ,32800.00 ,44200.00 ,93300.00 ,181000.00 ,2.00 
University of Missouri - Kansas City (UMKC),State,38900.00 ,65800.00 ,36300.00 ,48100.00 ,95800.00 ,124000.00 ,2.00 
University of Wisconsin (UW) - Eau Claire,State,41400.00 ,64800.00 ,35000.00 ,47300.00 ,93100.00 ,125000.00 ,2.00 
Ball State University (BSU),State,39100.00 ,64500.00 ,35500.00 ,48200.00 ,89300.00 ,128000.00 ,2.00 
University of North Carolina at Wilmington (UNCW),State,37500.00 ,64400.00 ,32100.00 ,46600.00 ,97100.00 ,129000.00 ,2.00 
University of Wisconsin (UW) - Stevens Point,State,39800.00 ,64000.00 ,38400.00 ,45100.00 ,95400.00 ,128000.00 ,2.00 
University of Southern Maine,State,39400.00 ,63600.00 ,40400.00 ,47900.00 ,85700.00 ,117000.00 ,2.00 
Arkansas State University (ASU),State,38700.00 ,63300.00 ,33600.00 ,45300.00 ,83900.00 ,118000.00 ,2.00 
Kent State University,State,38700.00 ,62600.00 ,36100.00 ,45800.00 ,87000.00 ,124000.00 ,2.00 
Tarleton State University (TSU),State,40800.00 ,62400.00 ,32100.00 ,47400.00 ,80400.00 ,126000.00 ,2.00 
University of Wisconsin (UW) - Green Bay,State,35800.00 ,60600.00 ,35500.00 ,46800.00 ,81800.00 ,102000.00 ,2.00 
Morehead State University,State,34800.00 ,60600.00 ,34300.00 ,46500.00 ,72000.00 ,91300.00 ,2.00 
Austin Peay State University,State,37700.00 ,59200.00 ,32200.00 ,40500.00 ,73900.00 ,96200.00 ,2.00 
Pittsburg State University,State,40400.00 ,58200.00 ,25600.00 ,46000.00 ,84600.00 ,117000.00 ,2.00 
Southern Utah University,State,41900.00 ,56500.00 ,30700.00 ,39700.00 ,78400.00 ,116000.00 ,2.00 
Montana State University - Billings,State,37900.00 ,50600.00 ,22600.00 ,31800.00 ,78500.00 ,98900.00 ,2.00 
Black Hills State University,State,35300.00 ,43900.00 ,27000.00 ,32200.00 ,60900.00 ,87600.00 ,2.00 
